tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime
285.00,49217102_0,98.88,8.57,40.00,0.00,567060342#1_0,5.10,0.00,tripinfo_40 fcd_40,245.00,40,0,796.56,1.03,0.00,150.17,DEFAULT_VEHTYPE,,4,110.00
286.00,337277957#2_1,107.70,7.52,32.00,0.00,40668087#2_0,5.10,0.00,tripinfo_32 fcd_32,254.00,32,0,771.80,1.01,0.00,161.70,DEFAULT_VEHTYPE,,5,131.00
286.00,1053072563_0,100.63,7.42,71.00,0.00,49217108#0_0,5.10,0.00,tripinfo_71 fcd_71,215.00,71,0,731.52,0.97,0.00,123.68,DEFAULT_VEHTYPE,,5,93.00
292.00,542428845#0_0,99.31,7.78,161.00,9.00,40668087#4_0,5.10,0.00,tripinfo_152 fcd_152,131.00,152,0,320.14,1.07,0.00,94.73,DEFAULT_VEHTYPE,,2,79.00
292.00,492471758_0,104.53,5.47,154.00,0.00,42141326#8_0,5.10,0.00,tripinfo_154 fcd_154,138.00,154,0,541.96,1.06,0.00,72.68,DEFAULT_VEHTYPE,,4,45.00
292.00,337277984#4_0,105.67,11.99,215.00,0.00,45429543#0_0,5.10,0.00,tripinfo_215 fcd_215,77.00,215,0,551.14,1.09,0.00,18.70,DEFAULT_VEHTYPE,,1,7.00
293.00,40668087#5_0,84.58,7.69,90.00,3.00,49217102_0,5.10,0.00,tripinfo_87 fcd_87,203.00,87,0,834.08,1.04,0.00,112.57,DEFAULT_VEHTYPE,,4,76.00
294.00,567060339#3_0,100.84,6.76,201.00,0.00,337277970#1_0,5.10,0.00,tripinfo_201 fcd_201,93.00,201,0,298.71,0.87,0.00,50.82,DEFAULT_VEHTYPE,,2,37.00
297.00,492471759#2_0,68.11,7.16,57.00,0.00,40668087#0_0,5.10,0.00,tripinfo_57 fcd_57,240.00,57,0,1005.28,1.14,0.00,133.67,DEFAULT_VEHTYPE,,6,68.00
298.00,337277957#2_0,107.70,7.02,109.00,0.00,42143912#0_0,5.10,0.00,tripinfo_109 fcd_109,189.00,109,0,808.74,0.96,0.00,86.66,DEFAULT_VEHTYPE,,3,60.00
